k = 001, n = 0, sim = 99.99%: [ ]
k = 003, n = 0, sim = 80.10%: [ ]
k = 005, n = 1, sim = 86.58%: [ 0 ]
k = 007, n = 2, sim = 95.24%: [ 0, 0 ]
k = 009, n = 3, sim = 95.28%: [ 0, 0, 0 ]
k = 011, n = 4, sim = 89.08%: [ 0, 0, 0, 0 ]
k = 013, n = 4, sim = 89.91%: [ 0, 0, 0, 1 ]
k = 015, n = 4, sim = 89.45%: [ 0, 0, 1, 1 ]
k = 017, n = 5, sim = 95.00%: [ 0, 0, 0, 1, 1 ]
k = 019, n = 5, sim = 95.73%: [ 0, 0, 1, 1, 1 ]
k = 021, n = 5, sim = 95.79%: [ 0, 1, 1, 1, 1 ]
k = 023, n = 6, sim = 97.34%: [ 0, 1, 1, 1, 1, 1 ]
k = 025, n = 6, sim = 96.62%: [ 1, 1, 1, 1, 1, 1 ]
k = 027, n = 6, sim = 96.35%: [ 0, 1, 1, 1, 1, 2 ]
k = 029, n = 6, sim = 96.42%: [ 0, 1, 1, 1, 2, 2 ]
k = 031, n = 6, sim = 96.85%: [ 1, 1, 1, 1, 2, 2 ]
k = 033, n = 6, sim = 96.97%: [ 1, 1, 1, 2, 2, 2 ]
k = 035, n = 6, sim = 95.87%: [ 1, 1, 2, 2, 2, 2 ]
k = 037, n = 6, sim = 96.31%: [ 1, 1, 1, 2, 2, 3 ]
k = 039, n = 6, sim = 96.71%: [ 1, 1, 2, 2, 2, 3 ]
k = 041, n = 6, sim = 96.36%: [ 1, 1, 2, 2, 3, 3 ]
k = 043, n = 6, sim = 96.22%: [ 1, 1, 2, 2, 3, 3 ]
k = 045, n = 6, sim = 95.84%: [ 1, 1, 2, 3, 3, 3 ]
k = 047, n = 6, sim = 95.44%: [ 1, 1, 2, 2, 3, 4 ]
k = 049, n = 6, sim = 95.60%: [ 1, 1, 2, 3, 3, 4 ]
k = 051, n = 7, sim = 97.06%: [ 1, 1, 2, 2, 3, 3, 4 ]
k = 053, n = 7, sim = 96.89%: [ 1, 1, 2, 2, 3, 4, 4 ]
k = 055, n = 7, sim = 96.64%: [ 1, 1, 2, 3, 3, 4, 4 ]
k = 057, n = 7, sim = 96.65%: [ 1, 2, 2, 3, 3, 4, 4 ]
k = 059, n = 7, sim = 96.72%: [ 1, 1, 2, 3, 3, 4, 5 ]
k = 061, n = 7, sim = 96.76%: [ 1, 2, 2, 3, 3, 4, 5 ]
k = 063, n = 7, sim = 97.01%: [ 1, 2, 2, 3, 4, 4, 5 ]
k = 065, n = 7, sim = 96.53%: [ 1, 2, 2, 3, 4, 5, 5 ]
k = 067, n = 7, sim = 96.79%: [ 1, 2, 2, 3, 4, 5, 5 ]
k = 069, n = 7, sim = 96.35%: [ 1, 2, 2, 3, 4, 5, 6 ]
k = 071, n = 7, sim = 96.54%: [ 1, 2, 3, 3, 4, 5, 6 ]
k = 073, n = 7, sim = 96.60%: [ 1, 2, 3, 3, 5, 5, 6 ]
k = 075, n = 7, sim = 96.61%: [ 1, 2, 3, 3, 5, 5, 6 ]
k = 077, n = 7, sim = 96.41%: [ 1, 2, 3, 3, 5, 6, 6 ]
k = 079, n = 7, sim = 96.56%: [ 1, 2, 3, 4, 5, 6, 6 ]
k = 081, n = 7, sim = 96.27%: [ 1, 2, 3, 3, 5, 6, 7 ]
k = 083, n = 7, sim = 96.65%: [ 1, 2, 3, 4, 5, 6, 7 ]
k = 085, n = 7, sim = 96.02%: [ 1, 2, 3, 4, 5, 6, 7 ]
k = 087, n = 7, sim = 95.82%: [ 1, 2, 3, 4, 5, 7, 7 ]
k = 089, n = 7, sim = 95.53%: [ 2, 3, 4, 5, 5, 6, 7 ]
k = 091, n = 7, sim = 95.32%: [ 1, 3, 3, 5, 6, 6, 7 ]
k = 093, n = 7, sim = 95.31%: [ 1, 3, 3, 5, 6, 7, 7 ]
k = 095, n = 8, sim = 97.32%: [ 1, 2, 3, 4, 5, 6, 7, 7 ]
k = 097, n = 8, sim = 97.26%: [ 1, 2, 3, 4, 5, 6, 7, 8 ]
k = 099, n = 8, sim = 97.21%: [ 1, 2, 3, 4, 5, 6, 7, 8 ]
k = 101, n = 8, sim = 97.24%: [ 1, 2, 3, 4, 5, 6, 8, 8 ]
k = 103, n = 8, sim = 97.23%: [ 1, 3, 3, 5, 6, 6, 7, 8 ]
k = 105, n = 8, sim = 97.15%: [ 2, 3, 4, 5, 6, 6, 7, 8 ]
k = 107, n = 8, sim = 96.86%: [ 1, 3, 3, 5, 6, 6, 8, 8 ]
k = 109, n = 8, sim = 96.74%: [ 2, 3, 4, 5, 6, 6, 8, 8 ]
k = 111, n = 8, sim = 96.69%: [ 2, 3, 4, 5, 6, 7, 8, 8 ]
k = 113, n = 8, sim = 96.26%: [ 2, 3, 4, 5, 6, 7, 8, 8 ]
k = 115, n = 8, sim = 96.49%: [ 3, 4, 5, 6, 6, 7, 8, 8 ]
k = 117, n = 8, sim = 96.66%: [ 3, 4, 5, 6, 6, 7, 8, 8 ]
k = 119, n = 8, sim = 96.32%: [ 3, 4, 5, 6, 6, 7, 8, 8 ]
k = 121, n = 8, sim = 95.56%: [ 3, 4, 5, 6, 6, 7, 8, 8 ]
k = 123, n = 9, sim = 97.89%: [ 2, 3, 4, 5, 6, 7, 7, 8, 9 ]
k = 125, n = 9, sim = 97.89%: [ 2, 3, 4, 5, 6, 7, 8, 8, 9 ]
k = 127, n = 9, sim = 97.83%: [ 3, 4, 5, 6, 6, 7, 7, 8, 9 ]
k = 129, n = 9, sim = 97.82%: [ 3, 4, 5, 6, 6, 7, 8, 8, 9 ]
k = 131, n = 9, sim = 97.78%: [ 3, 4, 5, 6, 6, 7, 8, 8, 9 ]
k = 133, n = 9, sim = 97.54%: [ 3, 4, 5, 6, 6, 7, 8, 9, 9 ]
k = 135, n = 9, sim = 97.58%: [ 3, 4, 5, 6, 7, 7, 8, 9, 9 ]
k = 137, n = 9, sim = 97.28%: [ 3, 4, 6, 6, 7, 8, 8, 9, 9 ]
k = 139, n = 9, sim = 97.40%: [ 3, 4, 6, 6, 7, 8, 8, 9, 9 ]
k = 141, n = 9, sim = 97.42%: [ 3, 4, 6, 6, 7, 8, 8, 9, 10 ]
k = 143, n = 9, sim = 97.42%: [ 4, 4, 6, 6, 7, 8, 8, 9, 10 ]
k = 145, n = 9, sim = 97.29%: [ 4, 4, 6, 7, 7, 8, 9, 9, 10 ]
k = 147, n = 9, sim = 97.38%: [ 4, 4, 6, 7, 7, 8, 9, 9, 10 ]
k = 149, n = 9, sim = 97.21%: [ 4, 5, 6, 7, 7, 8, 9, 10, 10 ]
k = 151, n = 9, sim = 97.35%: [ 4, 5, 6, 7, 7, 8, 9, 10, 10 ]
k = 153, n = 9, sim = 97.60%: [ 4, 5, 6, 7, 7, 8, 9, 10, 11 ]
k = 155, n = 9, sim = 97.86%: [ 4, 5, 6, 7, 8, 8, 9, 10, 11 ]
k = 157, n = 9, sim = 97.67%: [ 4, 5, 6, 7, 8, 8, 9, 10, 11 ]
k = 159, n = 9, sim = 97.59%: [ 4, 5, 7, 7, 8, 9, 9, 10, 11 ]
k = 161, n = 9, sim = 97.52%: [ 4, 5, 7, 7, 8, 9, 10, 10, 11 ]
k = 163, n = 9, sim = 97.42%: [ 4, 5, 7, 7, 8, 9, 10, 10, 11 ]
k = 165, n = 9, sim = 97.15%: [ 4, 5, 7, 7, 8, 9, 10, 11, 11 ]
k = 167, n = 9, sim = 97.15%: [ 4, 5, 7, 8, 8, 9, 10, 11, 11 ]
k = 169, n = 9, sim = 96.96%: [ 4, 5, 7, 8, 9, 9, 10, 11, 12 ]
k = 171, n = 9, sim = 97.08%: [ 4, 5, 7, 8, 9, 9, 10, 11, 12 ]
k = 173, n = 9, sim = 97.15%: [ 4, 5, 7, 8, 9, 10, 10, 11, 12 ]
k = 175, n = 9, sim = 97.03%: [ 4, 5, 7, 8, 9, 10, 10, 11, 12 ]
k = 177, n = 9, sim = 96.77%: [ 4, 6, 7, 8, 9, 10, 10, 12, 13 ]
k = 179, n = 9, sim = 96.94%: [ 4, 6, 7, 8, 9, 10, 11, 12, 13 ]
k = 181, n = 9, sim = 97.12%: [ 4, 6, 7, 8, 9, 10, 11, 12, 13 ]
k = 183, n = 9, sim = 97.27%: [ 5, 6, 7, 8, 9, 10, 11, 12, 13 ]
k = 185, n = 9, sim = 97.16%: [ 5, 6, 7, 8, 9, 10, 11, 12, 13 ]
k = 187, n = 9, sim = 97.00%: [ 5, 6, 7, 8, 9, 10, 11, 13, 13 ]
k = 189, n = 9, sim = 96.77%: [ 5, 6, 7, 8, 9, 10, 11, 13, 14 ]
k = 191, n = 9, sim = 96.73%: [ 5, 7, 7, 9, 9, 10, 11, 13, 14 ]
k = 193, n = 9, sim = 96.82%: [ 5, 7, 7, 9, 10, 11, 11, 13, 14 ]
k = 195, n = 9, sim = 96.99%: [ 5, 7, 7, 9, 10, 11, 11, 13, 14 ]
k = 197, n = 9, sim = 96.97%: [ 5, 7, 7, 9, 10, 11, 11, 13, 14 ]
k = 199, n = 9, sim = 97.06%: [ 5, 7, 8, 9, 10, 11, 12, 13, 14 ]
k = 201, n = 9, sim = 97.07%: [ 5, 7, 8, 9, 10, 11, 12, 14, 14 ]
k = 203, n = 9, sim = 97.11%: [ 5, 7, 8, 9, 10, 11, 12, 14, 15 ]
k = 205, n = 9, sim = 97.20%: [ 5, 7, 8, 9, 10, 11, 12, 14, 15 ]
k = 207, n = 9, sim = 97.10%: [ 5, 7, 8, 9, 10, 11, 12, 14, 15 ]
k = 209, n = 9, sim = 96.83%: [ 5, 7, 8, 9, 10, 11, 12, 14, 15 ]
k = 211, n = 9, sim = 96.76%: [ 5, 7, 9, 10, 11, 11, 13, 14, 15 ]
k = 213, n = 9, sim = 96.93%: [ 5, 7, 9, 10, 11, 12, 13, 14, 15 ]
k = 215, n = 9, sim = 97.04%: [ 6, 7, 9, 10, 11, 12, 13, 14, 15 ]
k = 217, n = 9, sim = 97.04%: [ 6, 7, 9, 10, 11, 12, 13, 14, 15 ]
k = 219, n = 9, sim = 96.86%: [ 6, 7, 9, 10, 11, 12, 13, 14, 15 ]
k = 221, n = 9, sim = 96.65%: [ 6, 8, 9, 10, 11, 12, 13, 15, 16 ]
k = 223, n = 9, sim = 96.74%: [ 6, 8, 9, 10, 11, 12, 13, 15, 16 ]
